Make,Model,Title,Price,Mileage,Year,Transmission,Fuel Type,Reviews,Rating,CO2 Emission,Engine Size,Color,Doors,Body Type,Distance
MINI,Mini,MINI Mini COOPER SD,"£11,250","63,000",2017,Manual,Diesel,,,106 g/km,2.0 L,Black,3,Hatchback,5 miles
Porsche,911,Porsche 911 CARRERA 2S,"£34,000","93,000",2007,Manual,Petrol,19,4.0,277 g/km,3.8 L,Blue,2,Coupe,5 miles
Hyundai,i10,Hyundai i10 1.0 Play 5dr,"£10,950","16,001",2020,Manual,Petrol,58,4.0,117 g/km,1.0 L,White,5,Hatchback,7 miles
Hyundai,i20,Hyundai i20 1.2 MPi Play 5dr,"£12,240","30,008",2019,Manual,Petrol,53,4.5,127 g/km,1.2 L,Red,5,Hatchback,7 miles
Hyundai,i10,Hyundai i10 1.2 MPi Premium 5dr,"£15,732","10,805",2022,Manual,Petrol,58,4.0,125 g/km,1.2 L,Black,5,Hatchback,7 miles
Hyundai,i10,Hyundai i10 1.0 T-GDi N Line 5dr,"£16,176","9,048",2022,Manual,Petrol,58,4.0,123 g/km,1.0 L,White,5,Hatchback,7 miles
Hyundai,Kona,Hyundai Kona 1.6 GDi Hybrid Premium 5dr DCT,"£16,500","70,851",2020,Automatic,Hybrid,,,122 g/km,1.6 L,White,5,Suv,7 miles
Hyundai,i10,Hyundai i10 1.0 MPi Premium 5dr Auto,"£16,908","10,568",2022,Semiauto,Petrol,58,4.0,126 g/km,1.0 L,Silver,5,Hatchback,7 miles
Hyundai,i10,Hyundai i10 1.0 MPi Premium 5dr Auto,"£17,316","3,453",2022,Semiauto,Petrol,58,4.0,126 g/km,1.0 L,Other,5,Hatchback,7 miles
Hyundai,Bayon,Hyundai Bayon 1.0 TGDi 48V MHEV SE Connect 5dr,"£17,980","7,772",2021,Manual,Hybrid,,,120 g/km,1.0 L,Grey,5,Suv,7 miles
Hyundai,Tucson,Hyundai Tucson 1.6 CRDi 136 Premium SE 5dr 2WD DCT,"£22,360","21,645",2019,Semiauto,Diesel,11,4.5,125 g/km,1.6 L,White,5,Suv,7 miles
Hyundai,IONIQ,Hyundai IONIQ 100kW Premium 38kWh 5dr Auto,"£22,980","16,764",2021,Automatic,Electric,,,,,Black,5,Hatchback,7 miles
Hyundai,IONIQ,Hyundai IONIQ 100kW Premium SE 38kWh 5dr Auto,"£24,960","12,114",2021,Automatic,Electric,,,,,Grey,5,Hatchback,7 miles
Hyundai,IONIQ,Hyundai IONIQ 100kW Premium 38kWh 5dr Auto,"£25,350","2,898",2022,Automatic,Electric,,,,,White,5,Hatchback,7 miles
Hyundai,IONIQ,Hyundai IONIQ 100kW Premium 38kWh 5dr Auto,"£25,644","11,501",2022,Automatic,Electric,,,,,Black,5,Hatchback,7 miles
