sales_title,url,location
Hyundai Kona 150kW Premium SE 64kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-1945243,7 miles
Dacia Sandero 0.9 TCe Essential 5dr,https://www.theaa.com/used-cars/cardetails/137-2242884,8 miles
Dacia Duster 1.5 Blue dCi Essential 5dr,https://www.theaa.com/used-cars/cardetails/137-2241218,8 miles
Renault Clio 0.9 TCE 75 Play 5dr,https://www.theaa.com/used-cars/cardetails/137-2185644,8 miles
Renault Captur 1.5 dCi 90 Dynamique Nav 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-2232642,8 miles
Dacia Duster 1.0 TCe 100 Essential 5dr,https://www.theaa.com/used-cars/cardetails/137-2236514,8 miles
Dacia Duster 1.3 TCe 130 Comfort 5dr,https://www.theaa.com/used-cars/cardetails/137-2231996,8 miles
Renault Zoe 80kW Dynamique Nav R110 40kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-2206408,8 miles
Renault Clio 1.0 TCe 100 Iconic 5dr,https://www.theaa.com/used-cars/cardetails/137-2231193,8 miles
Dacia Sandero 1.0 TCe Comfort 5dr,https://www.theaa.com/used-cars/cardetails/137-2208756,8 miles
Renault Zoe 68kW Dynamique Nav 41kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-2082897,8 miles
Dacia Duster 1.3 TCe 130 SE Twenty 5dr,https://www.theaa.com/used-cars/cardetails/137-2232000,8 miles
Dacia Duster 1.0 TCe 90 Prestige 5dr [6 Speed],https://www.theaa.com/used-cars/cardetails/137-2226277,8 miles
Renault Grand Scenic 1.5 dCi Dynamique Nav 5dr,https://www.theaa.com/used-cars/cardetails/137-2231194,8 miles
Renault Kadjar 1.3 TCE S Edition 5dr,https://www.theaa.com/used-cars/cardetails/137-2151847,8 miles
Renault Zoe 80kW i Iconic R110 50kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-2122031,8 miles
Renault Kangoo LL21 44kW 33kWh Business i-Crew Van Cab Auto,https://www.theaa.com/used-vans/cardetails/137-1861865,8 miles
Skoda Octavia 2.0 TDI CR SE L 5dr DSG [7 speed],https://www.theaa.com/used-cars/cardetails/137-2237199,9 miles
Suzuki Vitara 1.4 Boosterjet 48V Hybrid SZ-T 5dr,https://www.theaa.com/used-cars/cardetails/137-2006113,9 miles
Suzuki Vitara 1.4 Boosterjet 48V Hybrid SZ-T 5dr,https://www.theaa.com/used-cars/cardetails/137-1946853,9 miles
Kia Stonic 1.0T GDi 48V GT-Line 5dr,https://www.theaa.com/used-cars/cardetails/137-2237632,9 miles
Suzuki Vitara 1.4 Boosterjet 48V Hybrid SZ-T 5dr,https://www.theaa.com/used-cars/cardetails/137-2220199,9 miles
Kia Ceed 1.5T GDi ISG 3 5dr,https://www.theaa.com/used-cars/cardetails/137-2128721,9 miles
Kia Ceed 1.5T GDi ISG 3 5dr,https://www.theaa.com/used-cars/cardetails/137-2245555,9 miles
Kia XCeed 1.5T GDi ISG 3 5dr,https://www.theaa.com/used-cars/cardetails/137-2231374,9 miles
Peugeot 208 100kW GT Line 50kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-2220196,9 miles
Kia Niro 1.6 GDi PHEV 3 5dr DCT,https://www.theaa.com/used-cars/cardetails/137-2230414,9 miles
Kia XCeed 1.5T GDi ISG 4 5dr,https://www.theaa.com/used-cars/cardetails/137-2245556,9 miles
Kia ProCeed 1.5T GDi ISG GT-Line 5dr,https://www.theaa.com/used-cars/cardetails/137-2195517,9 miles
